year,usa
1970,5.56310752881526
1971,5.40524531055501
1972,5.53846033570217
1973,6.68385043665671
1974,8.19612190445127
1975,8.23227910907684
1976,7.9808926173207
1977,7.6542900319239
1978,7.947060702101
1979,8.7590690791502
1980,9.82645547013324
1981,9.51777369925308
1982,8.46973298853486
1983,7.62226481946529
1984,7.4891030913562
1985,6.98807253964585
1986,7.00925467575881
1987,7.49591933621889
1988,8.49052351999585
1989,8.93879019707245
1990,9.25473206751338
1991,9.66090512231881
1992,9.70891490564814
1993,9.54718039168286
1994,9.89314741556332
1995,10.639223880261
1996,10.7466355642836
1997,11.1197545265553
1998,10.5152611335588
1999,10.3085101834807
2000,10.6927239610622
2001,9.68298331038577
2002,9.13224881991615
2003,9.04306987207242
2004,9.64186274172664
2005,10.0119737675694
2006,10.6598220961005
2007,11.4923141689492
2008,12.4860631262841
2009,10.9488776594284
2010,12.3150580752357
2011,13.5305390136184
2012,13.5289189711659
2013,13.5445244306501
2014,13.5315904003143
2015,12.4329149340103
2016,11.9005006474783
2017,12.1651568872038
2018,12.2870960552449
2019,11.7329561121597
